루이 막스 부르고뉴 피노누아,Louis Max Bourgogne Pinot Noir,레드,12.5,14~16℃,None,3,None,None,None,
루이 막스 마꽁 빌라쥐,Louis Max Macon Villages,화이트,13.0,11~13℃,None,3,None,None,1,
알베아르 페드로 시메네즈 둘체 비에호,Alvear Pedro Ximexez Dulce Viejo,화이트,None,None,None,None,None,None,1,
로데즈 샤도네,Lodez Chardonnay,화이트,None,10℃,None,None,None,None,1,
로데즈 멜롯,Lodez Merlot,레드,12.5,16℃,None,None,None,None,None,
로데즈 까베르네 소비뇽,Lodez Cabernet Sauvignon,레드,12.5,16℃,None,1,None,4,None,
뱅상 부제로  뫼르쏘 1등급 샤름,Vincent Bouzereau Meurssault 1er Charmes,화이트,None,10~12℃,None,1,None,4,1,
앙리 부아이요 샹베르탱,Henri Boillot Chambertin,레드,None,15~17℃,None,1,None,4,None,
도브네이 부르고뉴 알리고떼,d'Auvenay Bourgogne Aligote,화이트,None,None,None,None,None,None,1,
라 담 드 몽로즈 ,La Dame de Montrose,레드,None,16~18℃,None,1,None,4,None,
샤또 몽로즈,Chateau Montrose,레드,None,16~18℃,250000,1,None,5,None,
샤또 파프 끌레망 블랑,Chateau Pape Clement Blanc,화이트,None,10~12℃,180000,1,3,4,1,
샤또 모로,Chateau Moreau,레드,None,16~18℃,None,1,None,None,None,
샤또 라 로즈,Chateau La Rose,레드,None,None,None,None,None,None,None,
도멘 A.F 그로 뽀마르 1er 크뤼 레 뻬즈롤 ,Domaine A.F. Gros Pommard 1er Cru Les Pezerolles,레드,None,15~17℃,350000,1,None,4,None,
바롱 드 로칠드 샤또 뒤아르 밀롱,Baron de Rothschild Chateau Duhart Milon,레드,None,None,None,None,None,None,None,
도농 레꼴뜨 누아,Dosnon Recolte Noire,스파클링,None,6~8℃,180000,1,None,3,None,
마우로 몰리노 바르베라 달바,Mauro Molino Barbera d'Alba,레드,None,16~18℃,59000,2,None,3,None,
마우로 몰리노 바롤로,Mauro Molino Barolo,레드,None,15~17℃,123000,1,None,5,None,
파고 드 시르서스 샤르도네 페르멘타도 엔 바리카,Pago de Cirsus Chardonnay Fermentado en Barrica,화이트,None,16~18℃,70000,1,None,4,1,
파고 드 시르서스 벤디미아 셀렉시오나다,Pago de Cirsus Vendimia Seleccionada,레드,None,16~18℃,65000,1,None,5,None,
떼땅저 컬렉션 시리즈 로이 리히텐슈타인,Taittinger Collection Roy Lichtenstein,스파클링,None,None,None,None,None,None,None,
보르고 트레비아노 다부르쪼,Borgo  Trebbiano d'Abruzzo,화이트,None,10~12℃,None,None,None,None,1,
보르고  몬테풀치아노 다부르쪼,Borgo  Montepulciano d'Abruzzo,레드,None,16~18℃,None,None,None,None,None,
깜뽀 비에호 크리안자,Campo Viejo Crianza,레드,None,None,36000,None,None,None,None,
깜뽀 비에호 레세르바,Campo Viejo Reserva,레드,None,None,48000,None,None,None,None,
브랜콧 이스테이트 말보로 피노 누아,Brancott Estate Marlborough Pinot Noir,레드,None,15~17℃,33000,1,None,3,None,
